model,baseline,scoring,delta,ci_low,ci_high,p_value,n_scenarios,n_resamples
claude-haiku-4-5,C1,strict,0.7291666666666667,0.649621212121212,0.8049242424242423,0.0,88,10000
claude-haiku-4-5,C2,strict,0.18371212121212122,0.09659090909090909,0.27462121212121215,0.0,88,10000
claude-haiku-4-5,C3,strict,0.04166666666666667,-0.026515151515151516,0.11174242424242425,0.2368,88,10000
claude-haiku-4-5,C4,strict,0.1268939393939394,0.05303030303030303,0.20454545454545456,0.0008,88,10000
claude-sonnet-4-6,C1,strict,0.649621212121212,0.5549242424242424,0.7405303030303031,0.0,88,10000
gemini-3.1-flash-lite,C1,strict,0.6174242424242424,0.5227272727272727,0.7083333333333334,0.0,88,10000
gemini-3.1-flash-lite,C2,strict,0.06628787878787878,-0.0303030303030303,0.16098484848484848,0.1696,88,10000
gemini-3.1-flash-lite,C3,strict,0.03409090909090909,-0.0303030303030303,0.10037878787878789,0.2942,88,10000
gemini-3.1-flash-lite,C4,strict,0.18181818181818182,0.10795454545454546,0.26136363636363635,0.0,88,10000
gpt-5.4-mini,C1,strict,0.6382575757575757,0.5511363636363636,0.7196969696969697,0.0,88,10000
gpt-5.4-mini,C2,strict,0.053030303030303025,-0.039772727272727286,0.14962121212121213,0.2806,88,10000
gpt-5.4-mini,C3,strict,0.08901515151515152,0.009469696969696972,0.16856060606060608,0.0274,88,10000
gpt-5.4-mini,C4,strict,0.2784090909090909,0.1950757575757576,0.36363636363636365,0.0,88,10000
claude-haiku-4-5,C1,refined,0.7405303030303031,0.6590909090909091,0.8162878787878788,0.0,88,10000
claude-haiku-4-5,C2,refined,0.1950757575757576,0.10416666666666666,0.28787878787878785,0.0,88,10000
claude-haiku-4-5,C3,refined,0.04166666666666667,-0.024621212121212124,0.10984848484848485,0.2254,88,10000
claude-haiku-4-5,C4,refined,0.13825757575757575,0.0625,0.2178030303030303,0.0004,88,10000
claude-sonnet-4-6,C1,refined,0.649621212121212,0.5549242424242424,0.7405303030303031,0.0,88,10000
gemini-3.1-flash-lite,C1,refined,0.6174242424242424,0.5227272727272727,0.7083333333333334,0.0,88,10000
gemini-3.1-flash-lite,C2,refined,0.06628787878787878,-0.0303030303030303,0.16098484848484848,0.1696,88,10000
gemini-3.1-flash-lite,C3,refined,0.022727272727272728,-0.03787878787878788,0.08522727272727272,0.461,88,10000
gemini-3.1-flash-lite,C4,refined,0.18181818181818182,0.10795454545454546,0.26136363636363635,0.0,88,10000
gpt-5.4-mini,C1,refined,0.6382575757575757,0.5511363636363636,0.7196969696969697,0.0,88,10000
gpt-5.4-mini,C2,refined,0.053030303030303025,-0.039772727272727286,0.14962121212121213,0.2806,88,10000
gpt-5.4-mini,C3,refined,0.08901515151515152,0.009469696969696972,0.16856060606060608,0.0274,88,10000
gpt-5.4-mini,C4,refined,0.2784090909090909,0.1950757575757576,0.36363636363636365,0.0,88,10000
