model,baseline,scoring,b,c,n_discordant,p_value
claude-haiku-4-5,C1,strict,54,0,54,1.1102230246251565e-16
claude-haiku-4-5,C2,strict,19,6,25,0.01463329792022705
claude-haiku-4-5,C3,strict,15,8,23,0.21003961563110352
claude-haiku-4-5,C4,strict,20,8,28,0.03569813817739487
claude-sonnet-4-6,C1,strict,51,0,51,8.881784197001252e-16
gemini-3.1-flash-lite,C1,strict,48,0,48,7.105427357601002e-15
gemini-3.1-flash-lite,C2,strict,18,13,31,0.47312965989112854
gemini-3.1-flash-lite,C3,strict,7,5,12,0.7744140625
gemini-3.1-flash-lite,C4,strict,17,1,18,0.00014495849609375
gpt-5.4-mini,C1,strict,42,0,42,4.547473508864641e-13
gpt-5.4-mini,C2,strict,15,20,35,0.49955983320251107
gpt-5.4-mini,C3,strict,18,9,27,0.12207812070846558
gpt-5.4-mini,C4,strict,27,5,32,0.00011307420209050179
claude-haiku-4-5,C1,refined,56,0,56,2.7755575615628914e-17
claude-haiku-4-5,C2,refined,21,6,27,0.005924612283706665
claude-haiku-4-5,C3,refined,14,7,21,0.18924713134765625
claude-haiku-4-5,C4,refined,22,8,30,0.016124801710247993
claude-sonnet-4-6,C1,refined,51,0,51,8.881784197001252e-16
gemini-3.1-flash-lite,C1,refined,48,0,48,7.105427357601002e-15
gemini-3.1-flash-lite,C2,refined,18,13,31,0.47312965989112854
gemini-3.1-flash-lite,C3,refined,6,5,11,1.0
gemini-3.1-flash-lite,C4,refined,17,1,18,0.00014495849609375
gpt-5.4-mini,C1,refined,42,0,42,4.547473508864641e-13
gpt-5.4-mini,C2,refined,15,20,35,0.49955983320251107
gpt-5.4-mini,C3,refined,18,9,27,0.12207812070846558
gpt-5.4-mini,C4,refined,27,5,32,0.00011307420209050179
