model,config,k,passk,n_scenarios
claude-haiku-4-5,C1,1,0.0,88
claude-haiku-4-5,C1,2,0.0,88
claude-haiku-4-5,C1,3,0.0,57
claude-haiku-4-5,C2,1,0.5454545454545454,88
claude-haiku-4-5,C2,2,0.49242424242424243,88
claude-haiku-4-5,C2,3,0.6842105263157895,57
claude-haiku-4-5,C3,1,0.6988636363636364,88
claude-haiku-4-5,C3,2,0.5984848484848485,88
claude-haiku-4-5,C3,3,0.7543859649122807,57
claude-haiku-4-5,C4,1,0.6022727272727273,88
claude-haiku-4-5,C4,2,0.5113636363636364,88
claude-haiku-4-5,C4,3,0.6666666666666666,57
claude-haiku-4-5,C5,1,0.7405303030303031,88
claude-haiku-4-5,C5,2,0.6590909090909091,88
claude-haiku-4-5,C5,3,0.7719298245614035,57
claude-sonnet-4-6,C1,1,0.0,88
claude-sonnet-4-6,C1,2,0.0,88
claude-sonnet-4-6,C1,3,0.0,57
claude-sonnet-4-6,C5,1,0.649621212121212,88
claude-sonnet-4-6,C5,2,0.5946969696969697,88
claude-sonnet-4-6,C5,3,0.6491228070175439,57
gemini-3.1-flash-lite,C1,1,0.0,88
gemini-3.1-flash-lite,C1,2,0.0,88
gemini-3.1-flash-lite,C1,3,0.0,57
gemini-3.1-flash-lite,C2,1,0.5511363636363636,88
gemini-3.1-flash-lite,C2,2,0.5151515151515151,88
gemini-3.1-flash-lite,C2,3,0.6140350877192983,57
gemini-3.1-flash-lite,C3,1,0.5946969696969697,88
gemini-3.1-flash-lite,C3,2,0.5492424242424243,88
gemini-3.1-flash-lite,C3,3,0.7543859649122807,57
gemini-3.1-flash-lite,C4,1,0.4356060606060606,88
gemini-3.1-flash-lite,C4,2,0.3901515151515152,88
gemini-3.1-flash-lite,C4,3,0.543859649122807,57
gemini-3.1-flash-lite,C5,1,0.6174242424242424,88
gemini-3.1-flash-lite,C5,2,0.5681818181818182,88
gemini-3.1-flash-lite,C5,3,0.7719298245614035,57
gpt-5.4-mini,C1,1,0.0,88
gpt-5.4-mini,C1,2,0.0,88
gpt-5.4-mini,C1,3,0.0,57
gpt-5.4-mini,C2,1,0.5852272727272727,88
gpt-5.4-mini,C2,2,0.553030303030303,88
gpt-5.4-mini,C2,3,0.6842105263157895,57
gpt-5.4-mini,C3,1,0.5492424242424243,88
gpt-5.4-mini,C3,2,0.4318181818181818,88
gpt-5.4-mini,C3,3,0.543859649122807,57
gpt-5.4-mini,C4,1,0.3598484848484848,88
gpt-5.4-mini,C4,2,0.268939393939394,88
gpt-5.4-mini,C4,3,0.3508771929824561,57
gpt-5.4-mini,C5,1,0.6382575757575757,88
gpt-5.4-mini,C5,2,0.5189393939393939,88
gpt-5.4-mini,C5,3,0.7017543859649122,57
