model,config,n_cells,n_pass_strict,n_pass_refined,n_rescued,rate_strict,rate_refined
claude-haiku-4-5,C1,233,0,0,0,0.0,0.0
claude-haiku-4-5,C2,233,141,141,0,0.6051502145922747,0.6051502145922747
claude-haiku-4-5,C3,233,172,174,2,0.7381974248927039,0.7467811158798283
claude-haiku-4-5,C4,233,151,151,0,0.648068669527897,0.648068669527897
claude-haiku-4-5,C5,233,178,180,2,0.7639484978540773,0.7725321888412017
claude-sonnet-4-6,C1,233,0,0,0,0.0,0.0
claude-sonnet-4-6,C5,233,156,156,0,0.6695278969957081,0.6695278969957081
gemini-3.1-flash-lite,C1,233,0,0,0,0.0,0.0
gemini-3.1-flash-lite,C2,233,137,137,0,0.5879828326180258,0.5879828326180258
gemini-3.1-flash-lite,C3,233,150,152,2,0.6437768240343348,0.6523605150214592
gemini-3.1-flash-lite,C4,233,113,113,0,0.48497854077253216,0.48497854077253216
gemini-3.1-flash-lite,C5,233,157,157,0,0.6738197424892703,0.6738197424892703
gpt-5.4-mini,C1,233,0,0,0,0.0,0.0
gpt-5.4-mini,C2,233,146,146,0,0.6266094420600858,0.6266094420600858
gpt-5.4-mini,C3,233,140,140,0,0.6008583690987125,0.6008583690987125
gpt-5.4-mini,C4,233,95,95,0,0.40772532188841204,0.40772532188841204
gpt-5.4-mini,C5,233,161,161,0,0.6909871244635193,0.6909871244635193
ALL,ALL,3961,1897,1903,6,0.4789194647816208,0.48043423377934863
