model,config,scoring,n,successes,rate,ci_low,ci_high
claude-haiku-4-5,C1,strict,233,0,0.0,0.0,0.016219537068475766
claude-haiku-4-5,C2,strict,233,141,0.6051502145922747,0.5411674392174571,0.6657220143604171
claude-haiku-4-5,C3,strict,233,172,0.7381974248927039,0.6782131548721776,0.7904547909879048
claude-haiku-4-5,C4,strict,233,151,0.648068669527897,0.5847979466542734,0.7065361818533453
claude-haiku-4-5,C5,strict,233,178,0.7639484978540773,0.7054159566441791,0.81391879417375
claude-sonnet-4-6,C1,strict,233,0,0.0,0.0,0.016219537068475766
claude-sonnet-4-6,C5,strict,233,156,0.6695278969957081,0.6068090728927867,0.7267473930797043
gemini-3.1-flash-lite,C1,strict,233,0,0.0,0.0,0.016219537068475766
gemini-3.1-flash-lite,C2,strict,233,137,0.5879828326180258,0.5238551887800652,0.6492563948259112
gemini-3.1-flash-lite,C3,strict,233,150,0.6437768240343348,0.5804117588334626,0.7024779021811817
gemini-3.1-flash-lite,C4,strict,233,113,0.48497854077253216,0.42157248602753267,0.5488718777470567
gemini-3.1-flash-lite,C5,strict,233,157,0.6738197424892703,0.6112276736166107,0.7307732598488548
gpt-5.4-mini,C1,strict,233,0,0.0,0.0,0.016219537068475766
gpt-5.4-mini,C2,strict,233,146,0.6266094420600858,0.5629190320467059,0.6861927589960406
gpt-5.4-mini,C3,strict,233,140,0.6008583690987125,0.5368320405155759,0.6616129455693239
gpt-5.4-mini,C4,strict,233,95,0.40772532188841204,0.34661988900126184,0.4718240598997874
gpt-5.4-mini,C5,strict,233,161,0.6909871244635193,0.6289584676186604,0.7468203358187029
claude-haiku-4-5,C1,refined,233,0,0.0,0.0,0.016219537068475766
claude-haiku-4-5,C2,refined,233,141,0.6051502145922747,0.5411674392174571,0.6657220143604171
claude-haiku-4-5,C3,refined,233,174,0.7467811158798283,0.6872525819227234,0.7983042989233079
claude-haiku-4-5,C4,refined,233,151,0.648068669527897,0.5847979466542734,0.7065361818533453
claude-haiku-4-5,C5,refined,233,180,0.7725321888412017,0.7145419150405062,0.8216817707633718
claude-sonnet-4-6,C1,refined,233,0,0.0,0.0,0.016219537068475766
claude-sonnet-4-6,C5,refined,233,156,0.6695278969957081,0.6068090728927867,0.7267473930797043
gemini-3.1-flash-lite,C1,refined,233,0,0.0,0.0,0.016219537068475766
gemini-3.1-flash-lite,C2,refined,233,137,0.5879828326180258,0.5238551887800652,0.6492563948259112
gemini-3.1-flash-lite,C3,refined,233,152,0.6523605150214592,0.5891894192309737,0.7105891767696195
gemini-3.1-flash-lite,C4,refined,233,113,0.48497854077253216,0.42157248602753267,0.5488718777470567
gemini-3.1-flash-lite,C5,refined,233,157,0.6738197424892703,0.6112276736166107,0.7307732598488548
gpt-5.4-mini,C1,refined,233,0,0.0,0.0,0.016219537068475766
gpt-5.4-mini,C2,refined,233,146,0.6266094420600858,0.5629190320467059,0.6861927589960406
gpt-5.4-mini,C3,refined,233,140,0.6008583690987125,0.5368320405155759,0.6616129455693239
gpt-5.4-mini,C4,refined,233,95,0.40772532188841204,0.34661988900126184,0.4718240598997874
gpt-5.4-mini,C5,refined,233,161,0.6909871244635193,0.6289584676186604,0.7468203358187029
