model,config,scoring,n,successes,rate,ci_low,ci_high
gemini-3.1-flash-lite,C1,strict,233,0,0.0,0.0,0.016219537068475766
gemini-3.1-flash-lite,C2,strict,233,140,0.6008583690987125,0.5368320405155759,0.6616129455693239
gemini-3.1-flash-lite,C3,strict,233,153,0.6566523605150214,0.5935862208947151,0.7146368425988525
gemini-3.1-flash-lite,C4,strict,233,113,0.48497854077253216,0.42157248602753267,0.5488718777470567
gemini-3.1-flash-lite,C5,strict,233,154,0.6609442060085837,0.5979883978936508,0.7186791330928913
gemini-3.1-flash-lite,C1,refined,233,0,0.0,0.0,0.016219537068475766
gemini-3.1-flash-lite,C2,refined,233,140,0.6008583690987125,0.5368320405155759,0.6616129455693239
gemini-3.1-flash-lite,C3,refined,233,153,0.6566523605150214,0.5935862208947151,0.7146368425988525
gemini-3.1-flash-lite,C4,refined,233,113,0.48497854077253216,0.42157248602753267,0.5488718777470567
gemini-3.1-flash-lite,C5,refined,233,154,0.6609442060085837,0.5979883978936508,0.7186791330928913
